,index,phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,time,clustered_index,environment_index
545,384,1512494234823,0.7263221,1.1329358999999999,1.6134125,22.6,36.600002,90,15,12,8,8,6,3,1,6164,9500,52429,16492,10000,0,40962,16802,152492,-3.1838149,55.9445536,133.0,7.0,17:17:14.823000,54,3
546,385,1512494279584,1.1036315,1.6038723999999998,1.7356228999999999,22.6,36.600002,115,27,21,14,3,7,4,0,0,0,0,0,0,0,0,0,191,-3.1835928,55.943979000000006,131.0,10.0,17:17:59.584000,32,4
547,386,1512494299696,0.9175603000000001,1.347808,1.6345339,20.2,38.7,112,15,12,14,8,2,3,2,0,0,0,0,0,0,0,0,168,-3.183503,55.9436745,131.0,10.0,17:18:19.696000,32,4
548,387,1512494320456,1.1685927,1.5919883,3.6434836,19.5,39.5,146,23,14,7,4,4,3,1,1,0,1,0,0,0,0,0,204,-3.1834499,55.94342660000001,129.0,7.0,17:18:40.456000,32,4
549,388,1512494340573,0.9944601000000001,1.3551315000000002,1.4145052,18.4,41.100002,113,22,12,12,4,6,1,0,0,0,0,0,0,0,0,0,170,-3.1832217000000003,55.94313399999999,131.0,8.0,17:19:00.573000,0,4
550,389,1512494360684,1.1384816999999998,1.6148113000000002,2.3269610000000003,17.2,43.600002,118,29,18,13,5,4,2,0,2,0,0,0,0,0,0,0,191,-3.1829212000000005,55.943043200000005,130.0,7.0,17:19:20.684000,0,4
551,390,1512494381443,0.83621895,1.2516611999999998,1.7335543999999998,15.900001000000001,46.7,102,17,11,12,5,7,2,1,1,0,0,0,0,0,0,0,158,-3.1824559,55.942794299999996,135.0,8.0,17:19:41.443000,57,2
552,391,1512494403494,2.0461557,2.9801836,4.354674,15.400001000000001,45.3,199,60,46,19,8,7,6,0,4,0,0,0,0,0,0,0,349,-3.1822406,55.94239820000001,140.0,10.0,17:20:03.494000,57,2
553,392,1512494422959,1.6961958,2.3029125,2.7666066000000002,15.2,47.0,208,43,20,15,5,8,5,0,1,0,0,0,0,0,0,0,305,-3.1820942000000003,55.942167500000004,132.0,4.0,17:20:22.959000,29,2
554,393,1512494442514,1.7917287,2.459568,3.3804564,15.1,46.100002,240,49,14,19,6,9,5,2,2,0,0,0,0,0,0,0,346,-3.1819716000000002,55.94209870000001,136.0,11.0,17:20:42.514000,29,2
555,394,1512494463935,1.558604,2.0389009,2.4218478,15.0,47.600002,207,44,20,8,6,7,3,0,1,0,0,0,0,0,0,0,296,-3.1816271,55.94170379999999,137.0,7.0,17:21:03.935000,72,0
556,395,1512494484024,0.8998280999999999,1.1836498,1.4058803,14.900001000000001,48.4,126,26,7,13,2,1,2,2,0,0,0,0,0,0,0,0,179,-3.1812452,55.941429500000005,140.0,9.0,17:21:24.024000,16,2
557,396,1512494504786,1.422085,2.0363147,2.6688125,14.5,50.0,204,30,21,12,5,9,7,2,1,0,0,0,0,0,0,0,291,-3.181119,55.9412603,142.0,7.0,17:21:44.786000,16,2
558,397,1512494525469,1.0717788000000001,1.5784962,3.5508654,14.2,50.8,147,24,18,9,6,6,4,2,1,2,0,0,0,0,0,0,219,-3.1808636000000003,55.9410017,138.0,12.0,17:22:05.469000,60,2
559,398,1512494545666,1.7051169999999998,2.3057735,3.5136383,14.0,50.2,211,45,25,13,5,4,6,0,1,1,0,0,0,0,0,0,311,-3.1814876,55.94084720000001,132.0,9.0,17:22:25.666000,47,3
560,399,1512494565783,0.9309084999999999,1.2736338,1.6444918999999998,13.8,51.5,112,19,16,7,4,3,2,0,1,0,0,0,0,0,0,0,164,-3.1820479,55.9406762,124.0,8.0,17:22:45.783000,71,1
561,400,1512494586548,0.89966136,1.2701561000000001,1.4777715,13.6,53.2,113,22,12,6,4,5,4,1,0,0,0,0,0,0,0,0,167,-3.1826035,55.940534299999996,133.0,5.0,17:23:06.548000,37,1
