,index,phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,time,clustered_index,environment_index
1,248,1512477759716,1.6543835,2.6376421000000003,3.1397374,21.300001,39.4,163,40,35,24,12,16,6,3,0,0,0,0,0,0,0,0,299,-3.1840272,55.944608499999994,121.0,10.0,12:42:39.716000,72,2
2,249,1512477780469,1.4302783000000001,2.3735604,3.72597,19.9,40.3,123,40,26,26,14,17,5,0,1,1,0,0,0,0,0,0,253,-3.1839687000000003,55.944341,124.0,10.0,12:43:00.469000,72,2
3,250,1512477801232,1.8246665000000002,2.890167,3.376095,19.1,41.100002,132,54,51,29,10,9,6,3,0,0,0,0,0,0,0,0,294,-3.1836557,55.9440745,130.0,12.0,12:43:21.232000,23,2
4,251,1512477821342,1.6271253,2.8310267999999996,10.55702,18.2,43.100002,124,43,38,27,11,20,9,2,0,1,1,0,0,0,1,0,277,-3.1835931,55.9437328,127.0,9.0,12:43:41.342000,55,1
5,252,1512477842103,1.3389242000000001,2.4253416000000003,3.3734580000000003,17.800001,43.9,98,25,42,25,16,10,7,4,1,0,0,0,0,0,0,0,228,-3.1834621,55.943397499999996,137.0,4.0,12:44:02.103000,55,1
6,253,1512477862864,1.4936044,2.655773,4.2946944,15.7,47.0,105,39,29,36,9,17,8,1,1,1,0,0,0,0,0,0,246,-3.1833085,55.94315129999999,134.0,5.0,12:44:22.864000,4,4
7,254,1512477883622,1.3286927,2.4470382,3.40504,13.6,53.7,87,43,29,24,15,14,10,3,1,0,0,0,0,0,0,0,226,-3.1830916,55.9429328,137.0,3.9,12:44:43.622000,4,4
8,255,1512477903738,1.5747924,2.7482803,7.4852705,13.6,53.7,119,44,32,28,14,18,4,6,1,0,0,1,0,0,0,0,267,-3.1828357000000005,55.94275820000001,134.0,10.0,12:45:03.738000,38,4
9,256,1512477923846,1.5684791,2.7338240000000003,4.433143,13.7,53.0,119,45,35,31,10,19,7,3,1,1,0,0,0,0,0,0,271,-3.1825827999999996,55.9425154,133.0,10.0,12:45:23.846000,38,4
10,257,1512477944609,1.7134011000000002,2.8086815,4.9607730000000005,13.7,52.7,133,51,44,26,13,14,8,1,1,0,1,0,0,0,0,0,292,-3.1823525000000004,55.94225060000001,135.0,10.0,12:45:44.609000,57,0
13,260,1512478006238,2.51782,3.6525023,3.9103699,13.7,53.5,237,79,48,29,9,18,7,0,0,0,0,0,0,0,0,0,427,-3.181734,55.941604500000004,135.0,13.0,12:46:46.238000,18,0
15,262,1512478048402,1.3914785,2.2369053,3.7544327000000006,13.400001000000001,55.2,130,46,23,23,10,14,4,3,1,1,0,0,0,0,0,0,255,-3.1812321,55.940858999999996,133.0,12.0,12:47:28.402000,25,2
16,263,1512478067218,1.9468879000000001,2.8578446,3.5317585,13.400001000000001,55.4,184,46,38,18,8,13,3,2,1,0,0,0,0,0,0,0,313,-3.1816218999999997,55.940701600000004,133.0,10.0,12:47:47.218000,44,1
17,264,1512478088627,1.1031921999999998,2.0014822,5.504135,13.3,56.0,89,25,24,26,10,13,8,0,0,2,1,0,0,0,0,0,198,-3.1821262000000003,55.94068570000001,123.0,8.0,12:48:08.627000,44,1
18,265,1512478108751,1.4969392,2.5975667999999996,7.752414999999999,13.1,56.4,112,40,29,24,10,16,9,2,0,1,0,1,0,0,0,0,244,-3.1826397999999996,55.9405451,127.0,13.0,12:48:28.751000,8,1
19,266,1512478128849,1.3723149,2.2638283,2.6042813999999996,12.900001,56.9,98,40,33,17,14,10,7,1,0,0,0,0,0,0,0,0,220,-3.1830357000000005,55.9404215,127.0,6.0,12:48:48.849000,8,1
20,267,1512478149612,1.1907929,2.2248585,3.5061282999999994,12.8,57.8,79,31,30,24,9,9,10,3,2,0,0,0,0,0,0,0,197,-3.1834328999999997,55.940358700000004,126.0,4.0,12:49:09.612000,29,3
21,268,1512478169721,1.2513083999999999,2.1381536,2.4134033,12.6,58.600002,83,29,31,26,5,10,8,0,0,0,0,0,0,0,0,0,192,-3.1838869,55.9402947,120.0,8.0,12:49:29.721000,43,3
22,269,1512478190483,1.2046578000000001,2.2140126,3.9132144,12.3,59.600002,92,21,30,26,10,11,8,2,1,1,0,0,0,0,0,0,202,-3.184345,55.94007020000001,120.0,5.0,12:49:50.483000,43,3
23,270,1512478210590,1.1585302,2.0349326000000003,3.3047053999999996,12.0,60.0,90,29,28,24,8,10,8,2,0,1,0,0,0,0,0,0,200,-3.1849554,55.9399279,129.0,9.0,12:50:10.590000,60,1
24,271,1512478231456,1.424512,2.5480125,3.8907595,11.8,61.100002,99,35,31,40,15,10,8,2,0,1,0,0,0,0,0,0,241,-3.1854120999999997,55.9398115,130.0,8.0,12:50:31.456000,12,1
25,272,1512478252855,1.2858682,2.4340544,4.892046,11.7,61.100002,100,40,26,25,16,19,11,3,1,0,1,0,0,0,0,0,242,-3.1858364,55.93979920000001,128.0,7.0,12:50:52.855000,69,3
26,273,1512478274245,1.1251063000000001,1.8860477999999998,2.919759,11.7,61.2,74,33,24,20,8,14,3,0,0,1,0,0,0,0,0,0,177,-3.1862109,55.9397292,133.0,6.0,12:51:14.245000,69,3
27,274,1512478293080,1.3035752,2.2619398,4.4222264000000004,11.6,61.8,86,28,37,22,12,8,4,1,3,1,0,0,0,0,0,0,202,-3.1865612999999997,55.939703099999996,140.0,8.0,12:51:33.080000,47,3
28,275,1512478313199,1.3256903,2.4038310000000003,4.4230504,11.5,62.0,94,40,25,25,8,19,7,2,2,1,0,0,0,0,0,0,223,-3.1868596,55.9397341,130.0,8.0,12:51:53.199000,47,3
29,276,1512478333313,1.1581916,2.1382658,4.1681848,11.5,62.3,89,33,25,25,12,15,8,0,3,1,0,0,0,0,0,0,211,-3.1873099999999996,55.93972579999999,131.0,8.0,12:52:13.313000,21,1
30,277,1512478354073,1.3877431,2.749283,4.4737344000000006,11.400001,62.7,68,42,40,19,10,16,15,2,3,0,0,0,0,0,0,0,215,-3.1879022999999997,55.9396811,124.0,6.0,12:52:34.073000,3,1
31,278,1512478374170,1.3909791999999999,2.6152306,3.6082267999999997,11.3,62.7,99,27,29,32,21,20,6,0,2,0,0,0,0,0,0,0,236,-3.1884462000000005,55.939682499999996,128.0,8.0,12:52:54.170000,78,1
32,279,1512478394928,1.5985993,2.823008,3.6933617999999995,11.3,63.0,121,40,31,30,11,14,10,5,0,0,0,0,0,0,0,0,262,-3.1889494,55.9396661,129.0,7.0,12:53:14.928000,66,1
33,280,1512478415137,1.5788886999999998,2.9903383,4.7192183,11.3,63.100002,113,36,33,25,15,18,10,6,2,0,0,0,0,0,0,0,258,-3.1895145,55.939695900000004,117.0,6.0,12:53:35.137000,33,4
34,281,1512478435260,1.6303604,2.9677358,5.1772766,11.3,63.5,90,53,37,40,13,9,11,3,2,1,0,0,0,0,0,0,259,-3.1898586,55.939747600000004,117.0,8.0,12:53:55.260000,64,1
35,282,1512478456004,1.4451776,2.6309113999999996,3.6338699999999995,11.0,64.3,88,48,29,28,10,16,10,3,1,0,0,0,0,0,0,0,233,-3.1907026000000003,55.939775899999994,117.0,4.0,12:54:16.004000,11,1
36,283,1512478476122,1.3045684,2.3512003,5.8396883,11.1,64.200005,90,37,30,26,12,16,5,2,2,1,1,0,0,0,0,0,222,-3.1912306,55.93982679999999,116.0,7.0,12:54:36.122000,19,1
37,284,1512478496220,1.4016399,2.5539732,4.919967,11.0,64.5,98,41,31,22,13,14,11,3,0,2,0,0,0,0,0,0,235,-3.1916381,55.9399157,119.0,7.0,12:54:56.220000,19,1
38,285,1512478516987,1.3406622,2.593975,3.4532402,11.0,64.4,79,38,34,28,18,15,13,1,1,0,0,0,0,0,0,0,227,-3.191621,55.940176199999996,116.0,5.0,12:55:16.987000,54,3
39,286,1512478538418,1.2393221,2.1575303,2.7494967,10.8,65.8,80,34,30,28,13,14,3,1,1,0,0,0,0,0,0,0,204,-3.1915965,55.9404806,115.0,5.0,12:55:38.418000,54,3
40,287,1512478558522,1.405016,2.6458075,5.606114,10.400001,66.9,72,47,28,26,14,20,5,0,5,1,0,0,0,0,0,0,218,-3.1915886,55.9408034,113.0,6.0,12:55:58.522000,31,3
41,288,1512478578535,1.1909871,2.3306139999999997,6.9187107,10.1,68.3,65,28,27,32,11,18,5,1,2,0,2,0,0,0,0,0,191,-3.1915432,55.9410725,124.0,6.0,12:56:18.535000,31,3
42,289,1512478598643,1.314007,2.2663138,2.7226083,9.8,69.700005,76,37,28,24,10,10,6,2,0,0,0,0,0,0,0,0,193,-3.1915732999999995,55.94136410000001,127.0,5.0,12:56:38.643000,59,3
43,290,1512478619405,1.2158753,2.234258,12.663193,9.6,70.5,72,35,21,32,14,11,7,2,0,0,0,0,0,0,1,1,196,-3.191544,55.94163220000001,125.0,5.0,12:56:59.405000,59,3
44,291,1512478639517,1.3691318000000001,2.4334853,2.998543,9.5,71.5,78,32,37,14,14,15,5,3,0,0,0,0,0,0,0,0,198,-3.1915272,55.9418858,124.0,6.0,12:57:19.517000,5,3
45,292,1512478660273,1.2016544,2.1908786,2.6731124,9.400001,72.0,78,26,26,23,10,15,6,2,0,0,0,0,0,0,0,0,186,-3.1914754000000003,55.9421022,120.0,5.0,12:57:40.273000,5,3
46,293,1512478681138,1.1932592,2.0955498,3.0865984,9.400001,71.8,73,33,22,19,9,12,6,0,2,0,0,0,0,0,0,0,176,-3.1915916,55.942509400000006,125.0,7.0,12:58:01.138000,62,3
47,294,1512478702442,1.1172874,2.0391135,2.4445035,9.3,72.200005,85,25,21,14,11,19,7,1,0,0,0,0,0,0,0,0,183,-3.1921196,55.94257170000001,130.0,5.0,12:58:22.442000,34,3
48,295,1512478721261,1.0155684,2.0401328000000003,3.6774626000000006,9.3,72.5,70,26,22,13,10,19,7,3,3,0,0,0,0,0,0,0,173,-3.1926502999999995,55.9426042,130.0,6.0,12:58:41.261000,76,3
49,296,1512478741458,1.4324754,2.3689457999999997,3.3061366000000003,9.3,72.700005,99,40,29,28,14,10,3,1,2,0,0,0,0,0,0,0,226,-3.1932264999999997,55.942618700000004,127.0,5.0,12:59:01.458000,15,3
50,297,1512478762882,1.4422959,2.760494,5.9746213,9.3,72.8,98,33,36,24,19,11,11,5,2,0,1,0,0,0,0,0,240,-3.1936776,55.9426343,125.0,5.0,12:59:22.882000,15,3
51,298,1512478782979,1.4600062,2.991547,4.224007599999999,9.3,72.9,86,42,34,36,16,17,19,3,1,0,0,0,0,0,0,0,254,-3.1941617,55.9426003,124.0,7.0,12:59:42.979000,71,3
52,299,1512478804945,1.393058,2.4765167000000003,4.204357,9.400001,72.700005,92,48,28,29,14,12,8,3,1,1,0,0,0,0,0,0,236,-3.1946303,55.9425723,119.0,6.0,13:00:04.945000,28,1
53,300,1512478824499,1.6296784,2.6907853999999998,5.042939,9.5,72.5,146,40,33,28,8,21,4,2,1,2,0,0,0,0,0,0,285,-3.1949829,55.942583,131.0,7.0,13:00:24.499000,28,1
54,301,1512478845173,1.5593665,2.7382364,4.942675599999999,9.6,71.4,96,40,49,18,9,9,9,4,2,1,0,0,0,0,0,0,237,-3.1955103,55.9425922,127.0,12.0,13:00:45.173000,50,3
55,302,1512478866026,1.5343528,2.7289950000000003,3.8138607,9.7,70.9,92,37,41,24,13,8,9,4,1,0,0,0,0,0,0,0,229,-3.1959169999999997,55.9425511,125.0,11.0,13:01:06.026000,50,3
56,303,1512478888082,1.5316557,2.7570517000000003,3.7491648,9.8,70.5,123,37,27,18,15,19,12,2,1,0,0,0,0,0,0,0,254,-3.1965031,55.94246879999999,132.0,8.0,13:01:28.082000,7,1
57,304,1512478908197,1.7685376,2.9163961,5.524418,9.900001,70.0,166,37,30,22,14,15,9,3,1,0,1,0,0,0,0,0,298,-3.1966333,55.9424497,130.0,7.0,13:01:48.197000,7,1
58,305,1512478928949,1.4722958000000002,2.4281812,2.8044653,10.0,69.8,117,30,29,16,7,18,6,1,0,0,0,0,0,0,0,0,224,-3.1970146,55.9424235,128.0,7.0,13:02:08.949000,30,1
